bdv,inscrits,Nuls,ALLIANCE ECOLOGISTE INDEPENDANTE,CHANGER LA DONNE,LISTE D UNITE ET DE RESISTANCE CONTRE LA POLITIQUE DU GOUVERNEMENT ET DE L U.E SOUTENUE PAR LE POI,LUTTE OUVRIERE FAIRE ENTENDRE LE CAMP DES TRAVAILLEURS,"MARSEILLE A GAUCHE, L HUMAIN D ABORD DANS NOTRE VILLE",MARSEILLE A VIVRE,MARSEILLE BLEU MARINE,MARSEILLE EN AVANT AVEC JEAN-CLAUDE GAUDIN,MARSEILLE ENSEMBLE,MARSEILLE J Y CROIS,MARSEILLE POPULAIRE,MARSEILLE UNIE,UN NOUVEAU CAP POUR LES MARSEILLAIS AVEC PATRICK MENNUCCI,UNE QUALITE DE VIE POUR TOUS,UNION POUR MARSEILLE,Total Résultat
1460,1472,31,,50,,3,68,,335,194,,,,9,149,,,808
1461,1282,16,,57,,9,22,,107,115,,,,18,131,,,459
1462,679,13,,36,,1,16,,52,59,,,,37,55,,,256
1463,909,15,,43,,3,43,,91,62,,,,10,95,,,347
1464,737,11,,19,,5,26,,196,152,,,,4,57,,,459
1465,921,17,,31,,4,47,,202,166,,,,2,121,,,573
1466,694,11,,15,,5,21,,144,79,,,,1,44,,,309
1501,836,12,,14,2,1,27,,51,57,,,,6,141,,1,300
1503,606,10,,15,1,2,30,,46,42,,,,2,79,,3,220
1504,792,6,,15,1,4,28,,80,51,,,,2,119,,1,301
1505,1275,23,,34,3,2,53,,120,106,,,,9,205,,7,539
1507,808,13,,21,1,3,27,,128,63,,,,2,98,,2,345
1508,995,12,,17,0,3,36,,153,112,,,,2,136,,6,465
1531,1069,23,,26,2,5,21,,96,78,,,,5,175,,6,414
1532,1018,8,,21,2,3,65,,152,88,,,,3,123,,1,458
1533,1121,10,,27,5,3,45,,141,98,,,,24,137,,10,490
1535,789,23,,14,2,0,31,,141,70,,,,4,89,,0,351
1536,658,8,,10,0,5,22,,72,51,,,,4,89,,0,253
1537,1253,10,,35,1,4,38,,135,64,,,,7,243,,0,527
1538,1100,16,,25,2,7,68,,209,97,,,,5,151,,2,566
1539,1065,10,,48,1,4,37,,100,84,,,,11,124,,5,414
1540,1160,13,,28,0,2,40,,120,115,,,,13,166,,7,491
1541,565,10,,14,0,0,28,,50,66,,,,1,96,,1,256
1542,1357,27,,47,2,1,59,,149,108,,,,7,199,,5,577
1543,1117,25,,23,3,3,69,,240,186,,,,4,107,,0,635
1571,1044,19,,21,49,3,2,,161,142,,,,4,147,,1,530
1572,1299,17,,30,2,5,42,,126,120,,,,6,194,,4,529
1574,1517,21,,41,2,3,69,,173,155,,,,19,214,,5,681
1575,610,11,,2,0,3,35,,104,86,,,,6,76,,5,317
1576,1144,22,,22,0,8,70,,247,146,,,,6,130,,4,633
1577,1475,28,,36,3,3,73,,71,86,,,,7,216,,42,537
1578,735,7,,14,2,4,26,,124,106,,,,2,96,,0,374
1579,1049,14,,23,0,1,50,,227,115,,,,1,108,,4,529
1580,1128,21,,16,3,5,49,,165,95,,,,6,200,,8,547
